رتبه 1 تا 10:
شما در رشته محل های زیر بصورت خوشبینانه شانس قبولی دارید :

رشته قبولی	رتبه کشوری	رتبه در سهمیه	نظام آموزشی	شهر	جنسیت

شما در رشته محل های زیر بصورت منطقی شانس قبولی دارید :

رشته قبولی	رتبه کشوری	رتبه در سهمیه	نظام آموزشی	شهر	جنسیت
پزشکی - دانشگاه علوم پزشکی تهران - روزانه	5	1	نظام جدید	تبریز	زن

شما در رشته محل های زیر بصورت بدبینانه شانس قبولی دارید :

رشته قبولی	رتبه کشوری	رتبه در سهمیه	نظام آموزشی	شهر	جنسیت
پزشکی - دانشگاه علوم پزشکی مشهد - روزانه	1176	409	نظام جدید	مشهد	زن
پزشکی - دانشگاه علوم پزشکی کرج - روزانه	1185	412	نظام جدید	تهران	مرد
پزشکی - دانشگاه علوم پزشکی مشهد - روزانه	1189	413	نظام جدید	تهران	مرد
پزشکی - دانشگاه علوم پزشکی مشهد - روزانه	1193	415	نظام جدید	مشهد	مرد
پزشکی - دانشگاه علوم پزشکی شیراز - روزانه	1196	417	نظام جدید	تهران	زن
پزشکی - دانشگاه علوم پزشکی اصفهان - روزانه	1196	417	نظام جدید	اصفهان	مرد
دندانپزشکی - دانشگاه علوم پزشکی تبریز - روزانه	1207	421	نظام جدید	تبریز	مرد
پزشکی - دانشگاه علوم پزشکی مشهد - روزانه	1207	421	نظام جدید	مشهد	زن
پزشکی - دانشگاه علوم پزشکی اصفهان - روزانه	1240	431	نظام جدید	اصفهان	زن
دندانپزشکی - دانشگاه علوم پزشکی تبریز - روزانه	1257	437	نظام جدید	تبریز	مرد
پزشکی - دانشگاه علوم پزشکی شهید بهشتی - پردیس خودگردان یا ظرفیت مازاد	1263	439	نظام جدید	تهران	مرد
پزشکی - دانشگاه علوم پزشکی اصفهان - روزانه	1272	443	نظام جدید	تهران	مرد
پزشکی - دانشگاه علوم پزشکی کرج - روزانه	1274	444	نظام جدید	تهران	زن
دندانپزشکی - دانشگاه علوم پزشکی شیراز - پردیس خودگردان یا ظرفیت مازاد	1290	447	نظام جدید	شیراز	مرد
دندانپزشکی - دانشگاه علوم پزشکی اصفهان - روزانه	1297	451	نظام جدید	مشهد	زن
داروسازی - دانشگاه علوم پزشکی تبریز - روزانه	1301	453	نظام جدید	تبریز	زن
پزشکی - دانشگاه علوم پزشکی مشهد - روزانه	1335	458	نظام جدید	رودهن	مرد
پزشکی - دانشگاه علوم پزشکی شهید بهشتی - پردیس خودگردان یا ظرفیت مازاد	1337	460	نظام جدید	تهران	زن
پزشکی - دانشگاه علوم پزشکی اصفهان - روزانه	1350	463	نظام جدید	اصفهان	زن
پزشکی - دانشگاه علوم پزشکی اصفهان - روزانه	1354	466	نظام جدید	تهران	مرد
دندانپزشکی - دانشگاه علوم پزشکی شهرکرد - روزانه	1354	466	نظام جدید	اصفهان	زن
پزشکی - دانشگاه علوم پزشکی شیراز - روزانه	1362	469	نظام جدید	شیراز	زن
پزشکی - دانشگاه علوم پزشکی کاشان - روزانه	1365	470	نظام جدید	اصفهان	مرد
پزشکی - دانشگاه علوم پزشکی مشهد - روزانه	1367	472	نظام جدید	مشهد	زن
پزشکی - دانشگاه علوم پزشکی مشهد - روزانه	1373	474	نظام جدید	تهران	مرد
پزشکی - دانشگاه علوم پزشکی تبریز - روزانه	1378	475	نظام جدید	تبریز	زن
پزشکی - دانشگاه علوم پزشکی اصفهان - روزانه	1385	479	نظام جدید	اصفهان	مرد
پزشکی - دانشگاه علوم پزشکی تبریز - روزانه	1385	479	نظام جدید	تهران	زن
دندانپزشکی - دانشگاه آزاد اسلامی واحد تهران پزشکی - دانشگاه آزاد	1394	481	نظام جدید	تهران	زن
پزشکی - دانشگاه علوم پزشکی شهید بهشتی - پردیس خودگردان یا ظرفیت مازاد	1397	483	نظام جدید	تهران	مرد
دندانپزشکی - دانشگاه علوم پزشکی کرج - روزانه	1409	486	نظام جدید	تهران	زن
پزشکی - دانشگاه علوم پزشکی کرج - روزانه	1413	488	نظام جدید	تهران	مرد
پزشکی - دانشگاه علوم پزشکی تبریز - روزانه	1427	495	نظام جدید	تبریز	مرد
پزشکی - دانشگاه علوم پزشکی اصفهان - روزانه	1430	496	نظام جدید	اصفهان	مرد
داروسازی - دانشگاه علوم پزشکی تبریز - روزانه	1442	500	نظام جدید	تبریز	مرد
پزشکی - دانشگاه علوم پزشکی تبریز - روزانه	1442	500	نظام جدید	قره‌ضیاءالدین	مرد
پزشکی - دانشگاه علوم پزشکی مشهد - روزانه	1442	500	نظام جدید	مشهد	زن
